epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,84.5991,0.96928,1.19762,1.58737,1.00148,0.69585,0.37921,0.52529,0.40258,0.62267,0.31021,0.43709,0.31846,0.88907,1.06995,1.47635,0.91837,0.000126827,0.000126827,0.000126827
48,86.154,0.86547,1.07287,1.44429,0.92324,0.69585,0.37921,0.52529,0.40258,0.62267,0.31021,0.43709,0.31846,0.88907,1.06995,1.47635,0.91837,0.000128754,0.000128754,0.000128754
49,87.7208,0.93245,1.23194,1.36947,0.93438,0.62278,0.43388,0.52951,0.41604,0.56038,0.35813,0.44154,0.31466,0.87098,1.04497,1.43155,0.912,0.000130645,0.000130645,0.000130645
50,89.2778,0.80615,0.9796,1.25016,0.91214,0.62278,0.43388,0.52951,0.41604,0.56038,0.35813,0.44154,0.31466,0.87098,1.04497,1.43155,0.912,0.000132501,0.000132501,0.000132501
51,90.85,0.86186,1.04644,1.39448,0.92219,0.57828,0.50729,0.55009,0.43121,0.52396,0.43748,0.46414,0.32469,0.84086,1.05131,1.34563,0.90187,0.000134321,0.000134321,0.000134321
52,92.3627,0.96043,1.19584,1.4634,0.9403,0.57828,0.50729,0.55009,0.43121,0.52396,0.43748,0.46414,0.32469,0.84086,1.05131,1.34563,0.90187,0.000136106,0.000136106,0.000136106
53,93.8694,0.90177,1.17855,1.45855,0.96448,0.57828,0.50729,0.55009,0.43121,0.52396,0.43748,0.46414,0.32469,0.84086,1.05131,1.34563,0.90187,0.000137856,0.000137856,0.000137856
54,95.4275,0.86578,1.08302,1.28473,0.92651,0.61439,0.54533,0.5785,0.45805,0.55142,0.4736,0.49332,0.33535,0.81736,1.04866,1.26756,0.89126,0.000139571,0.000139571,0.000139571
55,96.9621,0.8695,1.04776,1.32368,0.88438,0.61439,0.54533,0.5785,0.45805,0.55142,0.4736,0.49332,0.33535,0.81736,1.04866,1.26756,0.89126,0.00014125,0.00014125,0.00014125
56,98.5352,0.74945,0.95788,1.14475,0.89338,0.61439,0.54533,0.5785,0.45805,0.55142,0.4736,0.49332,0.33535,0.81736,1.04866,1.26756,0.89126,0.000142894,0.000142894,0.000142894
57,100.085,0.83276,1.12864,1.33753,0.91433,0.62648,0.55533,0.6104,0.47763,0.56731,0.47565,0.51651,0.34654,0.80162,1.01166,1.17957,0.88607,0.000144502,0.000144502,0.000144502
58,101.636,0.879,1.07248,1.29108,0.8889,0.62648,0.55533,0.6104,0.47763,0.56731,0.47565,0.51651,0.34654,0.80162,1.01166,1.17957,0.88607,0.000146075,0.000146075,0.000146075
59,103.182,0.87566,1.1447,1.45825,0.94838,0.62648,0.55533,0.6104,0.47763,0.56731,0.47565,0.51651,0.34654,0.80162,1.01166,1.17957,0.88607,0.000147613,0.000147613,0.000147613
60,104.74,0.8956,1.12916,1.24673,0.89728,0.71351,0.53558,0.63775,0.50756,0.64011,0.45304,0.53582,0.3689,0.78931,0.97261,1.11367,0.88295,0.000149116,0.000149116,0.000149116
61,106.249,0.9086,1.19343,1.25608,0.91577,0.71351,0.53558,0.63775,0.50756,0.64011,0.45304,0.53582,0.3689,0.78931,0.97261,1.11367,0.88295,0.000150583,0.000150583,0.000150583
62,107.773,0.79037,0.92183,1.14905,0.94147,0.71351,0.53558,0.63775,0.50756,0.64011,0.45304,0.53582,0.3689,0.78931,0.97261,1.11367,0.88295,0.000152014,0.000152014,0.000152014
63,109.287,0.8288,1.19339,1.28607,0.88506,0.80343,0.49151,0.66638,0.5204,0.738,0.41241,0.56391,0.3887,0.78711,0.98114,1.05989,0.88022,0.000153411,0.000153411,0.000153411
64,110.78,1.03572,1.32357,1.33309,0.87877,0.80343,0.49151,0.66638,0.5204,0.738,0.41241,0.56391,0.3887,0.78711,0.98114,1.05989,0.88022,0.000154772,0.000154772,0.000154772
65,112.275,0.7956,0.95379,1.14864,0.89947,0.80343,0.49151,0.66638,0.5204,0.738,0.41241,0.56391,0.3887,0.78711,0.98114,1.05989,0.88022,0.000156098,0.000156098,0.000156098
66,113.818,0.83933,1.03942,1.1494,0.88153,0.67892,0.57465,0.68541,0.53859,0.61007,0.48565,0.58093,0.40347,0.78651,0.96902,1.03143,0.88035,0.000157388,0.000157388,0.000157388
67,115.376,0.84505,1.05894,1.14436,0.8786,0.67892,0.57465,0.68541,0.53859,0.61007,0.48565,0.58093,0.40347,0.78651,0.96902,1.03143,0.88035,0.000158643,0.000158643,0.000158643
68,116.912,0.78687,0.93489,1.02746,0.89894,0.67892,0.57465,0.68541,0.53859,0.61007,0.48565,0.58093,0.40347,0.78651,0.96902,1.03143,0.88035,0.000159863,0.000159863,0.000159863
69,118.461,0.84223,1.07068,1.15229,0.87051,0.81968,0.52427,0.69911,0.54586,0.7406,0.43121,0.59087,0.40843,0.77055,0.93875,0.98813,0.87769,0.000161047,0.000161047,0.000161047
70,119.95,0.86364,1.10959,1.19242,0.88232,0.81968,0.52427,0.69911,0.54586,0.7406,0.43121,0.59087,0.40843,0.77055,0.93875,0.98813,0.87769,0.000162196,0.000162196,0.000162196
71,121.477,0.85595,1.08245,1.1214,0.86504,0.81968,0.52427,0.69911,0.54586,0.7406,0.43121,0.59087,0.40843,0.77055,0.93875,0.98813,0.87769,0.00016331,0.00016331,0.00016331
72,123.026,0.87267,1.11292,1.14423,0.90492,0.61542,0.64527,0.70276,0.54985,0.77871,0.4189,0.59087,0.39711,0.75684,0.93293,0.93897,0.87176,0.000164388,0.000164388,0.000164388
73,124.447,0.79686,1.00567,1.05161,0.90585,0.61542,0.64527,0.70276,0.54985,0.77871,0.4189,0.59087,0.39711,0.75684,0.93293,0.93897,0.87176,0.000165431,0.000165431,0.000165431
74,125.897,0.72267,0.97841,1.03659,0.88157,0.61542,0.64527,0.70276,0.54985,0.77871,0.4189,0.59087,0.39711,0.75684,0.93293,0.93897,0.87176,0.000166439,0.000166439,0.000166439
75,127.386,0.80463,1.04346,1.17456,0.93247,0.7428,0.6273,0.7157,0.55132,0.65959,0.5274,0.60229,0.40666,0.74628,0.92469,0.92533,0.86632,0.000167411,0.000167411,0.000167411
76,128.884,0.8387,1.14877,1.09909,0.8999,0.7428,0.6273,0.7157,0.55132,0.65959,0.5274,0.60229,0.40666,0.74628,0.92469,0.92533,0.86632,0.000168348,0.000168348,0.000168348
77,130.388,0.84318,1.05771,1.06867,0.87087,0.7428,0.6273,0.7157,0.55132,0.65959,0.5274,0.60229,0.40666,0.74628,0.92469,0.92533,0.86632,0.000169249,0.000169249,0.000169249
78,131.917,0.98081,1.15781,1.16682,0.86786,0.76275,0.60173,0.72288,0.56037,0.69107,0.49884,0.61086,0.41246,0.74007,0.88457,0.90332,0.86531,0.000170116,0.000170116,0.000170116
79,133.4,0.77112,0.94823,1.01001,0.87715,0.76275,0.60173,0.72288,0.56037,0.69107,0.49884,0.61086,0.41246,0.74007,0.88457,0.90332,0.86531,0.000170947,0.000170947,0.000170947
80,134.875,0.73669,1.0173,0.98649,0.90247,0.76275,0.60173,0.72288,0.56037,0.69107,0.49884,0.61086,0.41246,0.74007,0.88457,0.90332,0.86531,0.000171742,0.000171742,0.000171742
81,136.397,0.80815,1.01454,1.06091,0.89071,0.77482,0.65602,0.74769,0.57858,0.71101,0.56487,0.63814,0.44317,0.74117,0.86502,0.85389,0.8652,0.000172502,0.000172502,0.000172502
82,137.893,0.80606,1.13973,1.01406,0.90045,0.77482,0.65602,0.74769,0.57858,0.71101,0.56487,0.63814,0.44317,0.74117,0.86502,0.85389,0.8652,0.000173227,0.000173227,0.000173227
83,139.372,0.77145,0.98607,1.00072,0.87688,0.77482,0.65602,0.74769,0.57858,0.71101,0.56487,0.63814,0.44317,0.74117,0.86502,0.85389,0.8652,0.000173917,0.000173917,0.000173917
84,140.941,0.72779,1.09706,0.90368,0.89736,0.80411,0.60814,0.77258,0.59407,0.78752,0.4999,0.66369,0.47997,0.72503,0.86326,0.8142,0.86892,0.000174571,0.000174571,0.000174571
85,142.437,0.84263,1.11686,1.07106,0.88566,0.80411,0.60814,0.77258,0.59407,0.78752,0.4999,0.66369,0.47997,0.72503,0.86326,0.8142,0.86892,0.00017519,0.00017519,0.00017519
