epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,29231.5,0.60445,1.02982,0.43287,0.89066,0.83566,0.76674,0.81679,0.62233,0.81794,0.74231,0.78521,0.52005,0.53602,0.92115,0.35947,0.85145,0.000717875,0.000717875,0.000717875
45,29786.3,0.60636,1.03122,0.43389,0.89269,0.85023,0.75311,0.81932,0.61908,0.83546,0.73138,0.78913,0.52246,0.53613,0.91363,0.35732,0.85025,0.0007055,0.0007055,0.0007055
46,30298,0.60761,1.02637,0.42624,0.89028,0.83057,0.77571,0.82109,0.62356,0.8133,0.74607,0.78583,0.5271,0.52768,0.90645,0.34909,0.84992,0.000693125,0.000693125,0.000693125
47,30795.2,0.60264,1.02076,0.42907,0.89111,0.84812,0.78043,0.83317,0.63264,0.82933,0.75408,0.79709,0.52788,0.52664,0.90085,0.34505,0.85074,0.00068075,0.00068075,0.00068075
48,31213.4,0.6013,1.01937,0.42664,0.89163,0.83078,0.77604,0.82707,0.62782,0.80584,0.75522,0.79497,0.52623,0.5242,0.89705,0.34726,0.84698,0.000668375,0.000668375,0.000668375
49,31876.2,0.60092,1.01472,0.42101,0.88901,0.83999,0.7666,0.82703,0.63437,0.83219,0.74078,0.79698,0.53416,0.52308,0.89229,0.3418,0.84727,0.000656,0.000656,0.000656
50,32415.6,0.59475,1.00314,0.41322,0.88528,0.85592,0.77705,0.83241,0.64143,0.83488,0.75872,0.80702,0.53881,0.5175,0.88288,0.33514,0.84408,0.000643625,0.000643625,0.000643625
51,32895.5,0.59341,0.99731,0.412,0.88629,0.85191,0.7813,0.83769,0.64539,0.83602,0.76077,0.80947,0.54751,0.51571,0.88279,0.32838,0.84474,0.00063125,0.00063125,0.00063125
52,33283.3,0.5975,0.9987,0.40837,0.88653,0.86103,0.79291,0.84832,0.65482,0.85704,0.75785,0.81368,0.54771,0.51478,0.8751,0.32557,0.84291,0.000618875,0.000618875,0.000618875
53,33722.8,0.59105,0.99362,0.40572,0.88584,0.8476,0.80075,0.84623,0.65955,0.83504,0.77878,0.81419,0.55641,0.5087,0.86908,0.31966,0.84146,0.0006065,0.0006065,0.0006065
54,34108.6,0.58732,0.98492,0.40346,0.88494,0.8742,0.79956,0.85597,0.66491,0.85308,0.77765,0.82499,0.55246,0.50832,0.86164,0.31973,0.84066,0.000594125,0.000594125,0.000594125
55,34565.1,0.58367,0.98546,0.39764,0.88038,0.85595,0.81828,0.85358,0.65904,0.83668,0.79299,0.82007,0.54817,0.50733,0.86518,0.31752,0.83919,0.00058175,0.00058175,0.00058175
56,34938.8,0.58576,0.98382,0.39207,0.88146,0.87592,0.79653,0.85337,0.66417,0.86012,0.76202,0.81337,0.5519,0.50298,0.85421,0.31317,0.83794,0.000569375,0.000569375,0.000569375
57,35334.6,0.58008,0.97249,0.38898,0.87858,0.86981,0.81255,0.8567,0.67031,0.84689,0.79178,0.82278,0.56245,0.49991,0.85401,0.30833,0.83561,0.000557,0.000557,0.000557
58,35701.6,0.58304,0.9772,0.39087,0.88036,0.88041,0.81851,0.86538,0.67619,0.86374,0.79322,0.83253,0.57223,0.49613,0.84235,0.30417,0.83456,0.000544625,0.000544625,0.000544625
59,36121.6,0.57492,0.96231,0.38488,0.87666,0.89182,0.81494,0.86271,0.67564,0.86666,0.79314,0.83515,0.57375,0.49281,0.84268,0.30012,0.83335,0.00053225,0.00053225,0.00053225
